article_id,database_id,source,slug,title,h1,url,language,category,tag,content_hash,content_words,canonical,indexable,sitemap,status
code:alfabeto-ioruba,,versioned_code,alfabeto-ioruba,"Alfabeto iorubá: as 25 letras, vogais e tons (guia para iniciantes)","Alfabeto iorubá: as 25 letras, as vogais e os tons",https://vediums.com/blog/alfabeto-ioruba,pt-BR,,Iorubá,04074a1692dca501be834ddc7c41afd8bbc8ac68dabfee084a6970f3f04047cf,963,https://vediums.com/blog/alfabeto-ioruba,yes,yes,catalog_record
code:saudacoes-em-ioruba,,versioned_code,saudacoes-em-ioruba,"Saudações em iorubá: como cumprimentar (bom dia, obrigado e mais)","Saudações em iorubá: bom dia, obrigado e os cumprimentos do dia a dia",https://vediums.com/blog/saudacoes-em-ioruba,pt-BR,,Iorubá,e561ce8ba615584ec400f02b37fa1acbd2084bc656dc5abcdb611eaeebbd4f50,821,https://vediums.com/blog/saudacoes-em-ioruba,yes,yes,catalog_record
code:numeros-em-ioruba,,versioned_code,numeros-em-ioruba,Números em iorubá de 1 a 20: como contar (e a lógica de base 20),Números em iorubá de 1 a 20,https://vediums.com/blog/numeros-em-ioruba,pt-BR,,Iorubá,ad7edf5bd8dfb06b75c1c141a94f978228ff4d2b75ee06c66397752aad0c96ca,831,https://vediums.com/blog/numeros-em-ioruba,yes,yes,catalog_record
code:aprender-ioruba-lingua-e-cultura,,versioned_code,aprender-ioruba-lingua-e-cultura,Iorubá: conheça o idioma e por que aprendê-lo,Iorubá: conheça o idioma e por que aprendê-lo,https://vediums.com/blog/aprender-ioruba-lingua-e-cultura,pt-BR,,Iorubá,0432fd9b1966dd08b2085861ad872de8fc48ccf09e546e8bfbf0224fb167844e,190,https://vediums.com/blog/aprender-ioruba-lingua-e-cultura,yes,yes,catalog_record
code:yoruba-alphabet-guide,,versioned_code,yoruba-alphabet-guide,"Yoruba alphabet: the 25 letters, vowels and tones (a beginner's guide)","Yoruba alphabet: the 25 letters, the vowels and the tones",https://vediums.com/blog/yoruba-alphabet-guide,en,,Yoruba,c29d3246f7906a2f65b980e891c32bd246731cf228027b6bfb43fab79699bdb0,943,https://vediums.com/blog/yoruba-alphabet-guide,yes,yes,catalog_record
code:yoruba-greetings,,versioned_code,yoruba-greetings,"Yoruba greetings: how to say good morning, thank you and more","Yoruba greetings: good morning, thank you and everyday courtesies",https://vediums.com/blog/yoruba-greetings,en,,Yoruba,ea6ffcffc237fc5cd9e6989c5c7c1159b3fcbfa086f797a88e9c6df44487f615,823,https://vediums.com/blog/yoruba-greetings,yes,yes,catalog_record
code:yoruba-numbers-1-to-20,,versioned_code,yoruba-numbers-1-to-20,Yoruba numbers 1 to 20: how to count (and the base-20 logic),Yoruba numbers 1 to 20,https://vediums.com/blog/yoruba-numbers-1-to-20,en,,Yoruba,0caef57d20d79d2e985b99466efa8d71e91a506220f3b82912c31ff81657923a,772,https://vediums.com/blog/yoruba-numbers-1-to-20,yes,yes,catalog_record
code:yoruba-language-and-culture,,versioned_code,yoruba-language-and-culture,Yoruba: get to know the language and why you should learn it,Yoruba: get to know the language and why you should learn it,https://vediums.com/blog/yoruba-language-and-culture,en,,Yoruba,bfe5e6c81feba06c188edc719696bfd425cf9dbdc83ccf9eada715025f42666d,199,https://vediums.com/blog/yoruba-language-and-culture,yes,yes,catalog_record
code:como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,,versioned_code,como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,Como saber seu nível real de inglês antes de escolher um curso,Como saber seu nível real de inglês antes de escolher um curso,https://vediums.com/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,pt-BR,ingles,Inglês,6ad161951c37396b463e1388a7d62b7829bcae610dc763f6a6d1eda876b94f68,1879,https://vediums.com/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,yes,yes,catalog_record
code:ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,,versioned_code,ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,Inglês ao vivo ou gravado: o que muda na evolução do speaking,Inglês ao vivo ou gravado: o que muda na evolução do speaking,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,pt-BR,ingles,Inglês,b641a317c634d42339351d66245728522767222b6ae34a1e1cdd2ce1548999f3,2107,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,yes,yes,catalog_record
code:como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,,versioned_code,como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,"Como combinar leitura, escuta, fala e escrita no mesmo plano","Como combinar leitura, escuta, fala e escrita no mesmo plano",https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,pt-BR,ingles,Inglês,320c9aa9c3312af69414b6757223fedaedf7f031087fb7b8659fc606caea7fd6,2667,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,yes,yes,catalog_record
code:ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,,versioned_code,ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,pt-BR,ingles,Inglês,855ebfba7aab0bea8a701aa3baa233f923eab5642244f8ad6addeb5214364eae,2635,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,yes,yes,catalog_record
code:como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,,versioned_code,como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Como a prática constante supera maratonas de estudo em inglês,Como a prática constante supera maratonas de estudo em inglês,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,pt-BR,ingles,Inglês,c369550e4a337507a1d1f9711fd3dd9e19a1e5235ada26d82ac62089e5d3fa87,2808,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,yes,yes,catalog_record
code:como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,,versioned_code,como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,Como escrever mensagens curtas e claras em inglês corporativo.md,Como escrever mensagens curtas e claras em inglês corporativo.md,https://vediums.com/blog/ingles/como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,pt-BR,ingles,Inglês,570d092fcfcad7fa7bc35249703b51c7f9acb4516ca56f64bb6387698b5d7782,1232,https://vediums.com/blog/ingles/como-escrever-mensagens-curtas-e-claras-em-ingles-corporativo,yes,yes,catalog_record
code:ingles-para-conversas-por-telefone-e-chamadas-de-video,,versioned_code,ingles-para-conversas-por-telefone-e-chamadas-de-video,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,pt-BR,ingles,Inglês,82b5745f791b925c7717d8710657a85c791b83715c131f3b96369332acc5bc24,1044,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,yes,yes,catalog_record
code:o-papel-do-professor-qualificado-no-ensino-de-ioruba,,versioned_code,o-papel-do-professor-qualificado-no-ensino-de-ioruba,O papel do professor qualificado no ensino de iorubá,O papel do professor qualificado no ensino de iorubá,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,pt-BR,ioruba,Iorubá,ab5265792bba1aaeab7f72ecb10c88a2585635914c69a51da8914e3b3c18e74e,956,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,yes,yes,catalog_record
code:como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,,versioned_code,como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,Como avaliar se um conteúdo de iorubá é sério e responsável,Como avaliar se um conteúdo de iorubá é sério e responsável,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,pt-BR,ioruba,Iorubá,7a61ea51c4ebed737a7adecdeb685d23dcd67cf580a703226006cc467b8d97df,2487,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,yes,yes,catalog_record
code:como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,,versioned_code,como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,Como manter constância no estudo de uma língua de herança,Como manter constância no estudo de uma língua de herança,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,pt-BR,ioruba,Iorubá,20fcc4319d5f050d15698d402cced600bdb4bd8830d20d16c045b0372629d9dd,2672,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,yes,yes,catalog_record
code:como-os-tons-mudam-o-significado-das-palavras-em-ioruba,,versioned_code,como-os-tons-mudam-o-significado-das-palavras-em-ioruba,Como os tons mudam o significado das palavras em iorubá,Como os tons mudam o significado das palavras em iorubá,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,pt-BR,ioruba,Iorubá,b7a25c344c365dcdf02bbeb13aa4e1037da571f145d79c0754920a740dc5b937,2180,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,yes,yes,catalog_record
code:como-usar-perguntas-culturais-para-aprofundar-a-aula,,versioned_code,como-usar-perguntas-culturais-para-aprofundar-a-aula,Como usar perguntas culturais para aprofundar a aula,Como usar perguntas culturais para aprofundar a aula,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,pt-BR,ioruba,Iorubá,c074fc7b2179e0eb678e1386f09a22b54495adede7df245083872725e083af68,2935,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,yes,yes,catalog_record
code:o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,,versioned_code,o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,O que é o idioma iorubá e por que ele carrega cultura e memória,O que é o idioma iorubá e por que ele carrega cultura e memória,https://vediums.com/blog/ioruba/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,pt-BR,ioruba,Iorubá,f1bb88298af35849e84fee2ef86dd1b85c6734a6a162341ddd59d86adbe8e0b5,1945,https://vediums.com/blog/ioruba/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,yes,yes,catalog_record
code:plano-de-30-dias-para-comecar-ioruba-com-base-solida,,versioned_code,plano-de-30-dias-para-comecar-ioruba-com-base-solida,Plano de 30 dias para começar iorubá com base sólida,Plano de 30 dias para começar iorubá com base sólida,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,pt-BR,ioruba,Iorubá,8194027d4facea8136fc2fd9ad5d41014689674ce388580273349ca644f08fb7,2945,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,yes,yes,catalog_record
code:primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,,versioned_code,primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,Primeiras saudações em iorubá para aprender com respeito,Primeiras saudações em iorubá para aprender com respeito,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,pt-BR,ioruba,Iorubá,c171937200f4191e415ca38d546d52bb2823754c24ad28c7a34b3fa530699aee,2157,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,yes,yes,catalog_record
code:vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,,versioned_code,vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,Vocabulário de relações sociais em iorubá: comunidade e respeito,Vocabulário de relações sociais em iorubá: comunidade e respeito,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,pt-BR,ioruba,Iorubá,70894ff25a4368d7f85f2b75bbd139c7fc843e0ab3d8c24a8b4f1954f5157a63,2541,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,yes,yes,catalog_record
code:brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,,versioned_code,brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,Brazilian Portuguese for relocation teams: what employees need before arrival,Brazilian Portuguese for relocation teams: what employees need before arrival,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,en,brazilian-portuguese,Brazilian Portuguese,1dde72ba2e3ac0d4c17553abb267258e54b671fec29895ca2e9cd25561944a40,2206,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,yes,yes,catalog_record
code:brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,,versioned_code,brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,Brazilian Portuguese for expats: what to learn before your first month in Brazil,Brazilian Portuguese for expats: what to learn before your first month in Brazil,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,en,brazilian-portuguese,Brazilian Portuguese,2332d57f0d1cabb5a9c0b1460f8f938377cfa50fb367a937604d04001be40357,2191,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,yes,yes,catalog_record
