page,position,title,url,path,tag
1,1,Curso de inglês com professor ao vivo: o que muda na evolução da fala,https://vediums.com/blog/ingles/curso-de-ingles-com-professor-ao-vivo-o-que-muda-na-evolucao-da-fala,/blog/ingles/curso-de-ingles-com-professor-ao-vivo-o-que-muda-na-evolucao-da-fala,Inglês
1,2,Aula de inglês online ao vivo: como funciona e para quem vale a pena,https://vediums.com/blog/ingles/aula-de-ingles-online-ao-vivo-como-funciona-e-para-quem-vale-a-pena,/blog/ingles/aula-de-ingles-online-ao-vivo-como-funciona-e-para-quem-vale-a-pena,Inglês
1,3,Comment choisir un cours de portugais brésilien pour étrangers,https://vediums.com/blog/comment-choisir-un-cours-de-portugais-bresilien-pour-etrangers,/blog/comment-choisir-un-cours-de-portugais-bresilien-pour-etrangers,Français
1,4,What to expect from a structured Portuguese course for foreigners,https://vediums.com/en/blog/brazilian-portuguese/what-to-expect-from-a-structured-portuguese-course-for-foreigners,/en/blog/brazilian-portuguese/what-to-expect-from-a-structured-portuguese-course-for-foreigners,Brazilian Portuguese
1,5,Checklist para escolher sua primeira turma de inglês online ao vivo,https://vediums.com/blog/ingles/checklist-para-escolher-sua-primeira-turma-de-ingles-online-ao-vivo,/blog/ingles/checklist-para-escolher-sua-primeira-turma-de-ingles-online-ao-vivo,Inglês
1,6,Plano de 30 dias para começar iorubá com base sólida,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,Iorubá
1,7,Plano de 30 dias para começar iorubá com base sólida,https://vediums.com/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,Iorubá
1,8,"Yoruba alphabet: the 25 letters, vowels and tones (a beginner's guide)",https://vediums.com/blog/yoruba-alphabet-guide,/blog/yoruba-alphabet-guide,Yoruba
1,9,"Yoruba greetings: how to say good morning, thank you and more",https://vediums.com/blog/yoruba-greetings,/blog/yoruba-greetings,Yoruba
1,10,Yoruba numbers 1 to 20: how to count (and the base-20 logic),https://vediums.com/blog/yoruba-numbers-1-to-20,/blog/yoruba-numbers-1-to-20,Yoruba
1,11,Yoruba: get to know the language and why you should learn it,https://vediums.com/blog/yoruba-language-and-culture,/blog/yoruba-language-and-culture,Yoruba
1,12,Portuguese for Brazil: a realistic study path from A1 to B1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,Brazilian Portuguese
2,1,Portuguese for Brazil: a realistic study path from A1 to B1,https://vediums.com/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,Português para Estrangeiros
2,2,"Alfabeto iorubá: as 25 letras, vogais e tons (guia para iniciantes)",https://vediums.com/blog/alfabeto-ioruba,/blog/alfabeto-ioruba,Iorubá
2,3,"Saudações em iorubá: como cumprimentar (bom dia, obrigado e mais)",https://vediums.com/blog/saudacoes-em-ioruba,/blog/saudacoes-em-ioruba,Iorubá
2,4,Números em iorubá de 1 a 20: como contar (e a lógica de base 20),https://vediums.com/blog/numeros-em-ioruba,/blog/numeros-em-ioruba,Iorubá
2,5,How to ask better questions in Brazilian Portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,Brazilian Portuguese
2,6,How to ask better questions in Brazilian Portuguese,https://vediums.com/blog/how-to-ask-better-questions-in-brazilian-portuguese,/blog/how-to-ask-better-questions-in-brazilian-portuguese,Português para Estrangeiros
2,7,Como a prática constante supera maratonas de estudo em inglês,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Inglês
2,8,Como a prática constante supera maratonas de estudo em inglês,https://vediums.com/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Inglês
2,9,Como avaliar se um conteúdo de iorubá é sério e responsável,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,Iorubá
2,10,Como avaliar se um conteúdo de iorubá é sério e responsável,https://vediums.com/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,Iorubá
2,11,90天建立巴西葡萄牙语基础的计划,https://vediums.com/blog/ple-zh-078,/blog/ple-zh-078,中文
2,12,90天建立巴西葡萄牙语基础的计划,https://vediums.com/blog/ple-zh-078,/blog/ple-zh-078,Português para Estrangeiros
3,1,Portuguese for airport arrival and first hotel check-in,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,Brazilian Portuguese
3,2,Portuguese for airport arrival and first hotel check-in,https://vediums.com/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,Português para Estrangeiros
3,3,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês
3,4,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,https://vediums.com/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês
3,5,Vocabulário de relações sociais em iorubá: comunidade e respeito,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,Iorubá
3,6,Vocabulário de relações sociais em iorubá: comunidade e respeito,https://vediums.com/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,Iorubá
3,7,Реалистичный план изучения бразильского португальского на 90 дней,https://vediums.com/blog/ple-ru-077,/blog/ple-ru-077,Русский
3,8,Реалистичный план изучения бразильского португальского на 90 дней,https://vediums.com/blog/ple-ru-077,/blog/ple-ru-077,Português para Estrangeiros
3,9,How to use live classes to gain speaking confidence,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,Brazilian Portuguese
