"family","url_pattern","approx_count","generation_source","template","controller","doctype_or_data_source","locale_strategy","seo_strategy","redesign_template_target","risk"
"homepage","/ ; /en ; /es ; /fr ; /de ; /ru","6","CONFIRMADO NO CODIGO: www/index.py (pt-BR) + www/<lang>/index.py e index.html proprios para en/es/fr/de/ru (LANGUAGES_WITH_OWN_HOME em hooks.py); prefixos regionais irmaos (en-us/en-au/es-ar/es-co/fr-ca) sao REDIRECT para a home da familia, nao paginas proprias","www/index.html + www/<lang>/index.html (5 templates traduzidos independentes, nao um so template com if de idioma)","www/index.py + www/en/index.py + www/es/index.py + www/fr/index.py + www/de/index.py + www/ru/index.py","LMS Course (grid de cursos publicados via vedium_core.courses.get_published_courses)","CONFIRMADO NO CODIGO: cada idioma com home propria tem template .html dedicado (nao reaproveita um so arquivo); pt-BR ausente de LANGUAGE_ROUTE_PREFIXES 1:1 (e o default sem prefixo)","Title/meta/H1 proprios por idioma; hreflang reciproco (CONFIRMADO EM PRODUCAO na amostra: 6 hreflang em /); Schema EducationalOrganization+ContactPoint+PostalAddress (CONFIRMADO EM PRODUCAO)","T1 - Homepage","ALTO -- pagina mais visivel do site; 5 templates HTML independentes (nao um componente compartilhado) significa que o redesign precisa recriar 5 versoes coerentes, nao 1; achado nesta auditoria: /en e /es respondem SEM <h1> (ver accessibility baseline) -- risco ja existente, nao introduzido pelo redesign"
"course-hub","/cursos-de-idiomas-online ; /<lang>/catalogo","6","CONFIRMADO NO CODIGO: www/catalogo.py + catalogo.html, com traducao MESMO SLUG (/en/catalogo, nao um slug de SEO proprio) via SAME_SLUG_TRANSLATIONS em hooks.py; /cursos-de-idiomas-online e o canonico, /trilhas e /cursos sao aliases 301 (ver redirects.csv)","www/catalogo.html (compartilhado, comportamento por idioma via contexto)","www/catalogo.py + www/en|es|fr|de|ru/catalogo.py","LMS Course + LMS Category (get_published_courses, todos os cursos)","CONFIRMADO NO CODIGO: mesmo slug em todos os idiomas (nao ha 'catalog-en' etc.), resolvido por SAME_SLUG_TRANSLATIONS","Grid dinamico com todos os cursos publicados; changefreq daily no sitemap (prioridade alta)","T2 - Hub de cursos","MEDIO -- dado vem 100% do LMS ao vivo, baixo risco de conteudo desalinhado; risco esta em preservar filtros/ordenacao ao redesenhar"
"language-pillar","/curso-de-ingles-online ; /portugues-para-estrangeiros ; /<lang>/learn-*-online ; /<lang>/portugu*-* etc (Ingles, Iorubá, PLE, Espanhol, Hebraico x ate 6 idiomas)","18","CONFIRMADO NO CODIGO: marketing_landing_content.py (dict LANDINGS, uma entrada por slug+idioma) + templates/includes/marketing_landing.html (template UNICO compartilhado por TODAS as ~60+ landings do site, pilares e objetivos)","templates/includes/marketing_landing.html","um www/<slug>.py fino por slug (ex.: portugues_para_estrangeiros.py, en/learn-portuguese-brazil.py) que so chama get_marketing_landing(slug)","LMS Course + LMS Category (course_grid quando LANDING_COURSE_FILTERS define filtro) para as paginas com grade de niveis","CONFIRMADO NO CODIGO: LANDINGS[slug]['alt'] mapeia idioma->slug, hreflang reciproco automatico; x_default_lang opcional por slug (PLE aponta pra EN desde 2026-08-23, ver commit da missao PLE; demais clusters usam pt-BR default)","seo_sections + seo_title + workload + FAQ (Schema Course+FAQPage); profundidade de conteudo desigual por idioma HOJE (achado real da missao PLE: EN chegou a ser a landing mais fina das 6 antes de correcao)","T3 - Pagina-pilar de idioma","ALTO -- template UNICO serve Ingles/Espanhol/Hebraico/Ioruba/PLE simultaneamente; qualquer mudanca de marketing_landing.html afeta todos os clusters ao mesmo tempo (mesmo padrao de risco documentado na missao PLE pra curso.html)"
"level","/curso/<slug> ; /<lang>/curso/<slug> (Ioruba e PLE apenas, unicos com COURSE_TRANSLATIONS)","50","CONFIRMADO NO CODIGO: www/curso.py + curso.html -- template UNICO que serve TODOS os cursos e TODOS os 6 idiomas (mesmo arquivo, nao um por cluster)","www/curso.html","www/curso.py","LMS Course + Course Chapter + Course Lesson + Course Instructor + LMS Enrollment + LMS Course Review, todos ao vivo do banco (sem cache de conteudo alem de TTL curto)","CONFIRMADO NO CODIGO: title/descricao via COURSE_TRANSLATIONS (so Ioruba e PLE tem entradas -- publico que nao fala PT); demais idiomas de curso (Ingles/Espanhol/Hebraico) NAO tem versao traduzida, request redireciona pro PT (curso.py: 'req_lang not in translations_for_course' -> redirect)","Schema Course+BreadcrumbList; hreflang so quando ha traducao real (por desenho, nao bug); trilha de navegacao proprio idioma (Ingles A1-C1 e PLE Basico-Avancado, ambas corrigidas nesta sessao)","T4 - Pagina de nivel/trilha","MUITO ALTO -- e o template mais compartilhado do site (5 clusters x 6 idiomas no mesmo arquivo); confirmado nesta propria sessao: um bug aqui (related_courses sem idioma) vazou link errado especificamente pro cluster PLE; qualquer redesign deste template precisa de QA cruzado em todos os clusters, nao so no que motivou a mudanca"
"objective","/ingles-para-* ; /portugues-para-executivos ; /preparatorio-celpe-bras ; /ioruba-* e equivalentes traduzidos","50","CONFIRMADO NO CODIGO: mesmo mecanismo de language-pillar (LANDINGS + marketing_landing.html), classificadas como spoke/objetivo em vez de pilar por content_clusters.py (cluster_for_category)","templates/includes/marketing_landing.html (mesmo template do pilar)","um www/<slug>.py fino por slug, mesmo padrao do pilar","Normalmente sem course_grid proprio (paginas de objetivo tendem a linkar pro pilar, nao repetir a grade)","Igual ao pilar: LANDINGS[slug]['alt'] + hreflang reciproco","content_clusters.py liga spoke -> pilar -> teste de nivel (arquitetura de autoridade SEO, P9); mesmo padrao de FAQ/Schema do pilar","T3 (variante spoke) ou template proprio a definir no redesign","MEDIO-ALTO -- mesmo template compartilhado do pilar, porem paginas individualmente menos criticas; risco concentra-se na malha de link interno spoke->pilar, nao no conteudo de cada pagina isolada"
"blog-hub","/blog ; /en/blog ; /es/blog","3","CONFIRMADO NO CODIGO: www/blog.py; fr/de/ru/zh-cn AINDA NAO TEM /blog proprio (hooks.py so registra rota /en/blog e /es/blog explicitamente -- ver comentario 'so en/es tem conteudo real planejado')","www/blog.html","www/blog.py","Vedium Blog Post (DocType, paines administrativo) UNIDO a blog_content.BLOG_POSTS (dict em codigo) -- DUAS fontes de dados coexistindo (INFERIDO como debito tecnico a partir de memoria de sessoes anteriores, nao reverificado linha a linha nesta auditoria)","Blog nunca traduz o slug /blog em si (CONFIRMADO pelo agente de header/footer: e decisao consciente, /blog sempre pt no path mesmo em paginas de outro idioma, exceto en/es que tem /en/blog e /es/blog dedicados)","Listagem por categoria","Blog hub/listing template","MEDIO -- fonte de dados dupla (DocType + dict) e o principal risco de inconsistencia; confirmar no codigo antes do redesign qual e a fonte de verdade por post"
"blog-category","/blog/<categoria> (ingles, ioruba, hebraico, espanhol) ; /en/blog/<categoria> ; /es/blog/<categoria>","26","CONFIRMADO NO CODIGO: blog_content.CATEGORY_PAGES, servido por blog_post.py (que detecta nomes de categoria reservados e diferencia de slug de artigo)","www/blog_post.html (mesmo controller/template do artigo, com branch por tipo)","www/blog_post.py","blog_content.CATEGORY_PAGES (dict em codigo)","CONFIRMADO NO CODIGO: /en/blog/<categoria> e /es/blog/<categoria> existem; demais idiomas nao","Pagina editorial + listagem, nao so filtro (nota do proprio hooks.py)","Blog category/pillar template","MEDIO -- mesma dependencia de blog-hub"
"blog-article","/blog/<slug> (legado, achatado) ; /blog/<categoria>/<slug> ; /en/blog/<categoria>/<slug> ; /es/blog/<categoria>/<slug>","77","CONFIRMADO NO CODIGO: website_route_rules em hooks.py trata TODOS os posts (novos e antigos) via /blog/<slug> e /blog/<category>/<slug> -- nao ha mais www/blog/<slug>.html individuais estaticos","www/blog_post.html","www/blog_post.py","Vedium Blog Post (DocType) OU blog_content.BLOG_POSTS (dict) -- ver nota de debito tecnico em blog-hub acima","Artigos novos entram aninhados sob categoria; artigos antigos preservam o padrao achatado /blog/<slug> (retrocompatibilidade, nao redirect)","Article schema esperado (NAO CONFIRMADO individualmente nesta auditoria -- fora da amostra de 66 URLs)","Blog article template","MEDIO -- maior familia em contagem absoluta (77 URLs); qualquer regressao de template aqui tem alto impacto em superficie total de paginas indexadas, mesmo com risco unitario baixo por pagina"
"professor","/professores ; /professores/<slug>","0","NAO CONFIRMADO EM PRODUCAO -- pagina NAO EXISTE ainda no site atual. CONFIRMADO NA DOCUMENTACAO: docs/redesign/08-page-media-map.md secao 10 ja trata '/professores' e '/professores/<slug>' como 'pagina canonica futura' (P0 -- REAL VEDIUM REQUIRED), a ser criada no redesign, nao uma familia de rotas hoje existente","nao existe","nao existe","User (professor vinculado via Course Instructor) -- ver vedium_core/courses.py:get_public_instructors(), criado nesta sessao para a ficha de curso PLE, ainda sem pagina de diretorio propria","N/A (pagina nao existe)","N/A","Pagina de diretorio de professores (nova, redesign)","N/A -- registrado aqui como GAP, nao como familia de rotas ativa; e uma criacao nova do redesign, nao uma migracao"
"b2b","/empresas ; /<lang>/empresas","6","CONFIRMADO NO CODIGO: www/empresas.py, com traducao mesmo slug via SAME_SLUG_TRANSLATIONS","www/empresas.html","www/empresas.py + www/en|es|fr|de|ru/empresas.py","Provavelmente estatico/editorial (NAO CONFIRMADO se consulta LMS Course ou CRM ao vivo -- fora do escopo desta leitura)","Mesmo slug em todos os idiomas","Pagina institucional de vendas B2B","Template B2B/case institucional","BAIXO-MEDIO -- volume pequeno, porem e ponto de entrada comercial (ver conversion-contracts.md)"
"institutional","/sobre ; /como-funciona ; /diferenciais ; /metodologia ; /faq ; /certificado ; /comunidade ; /carreiras ; /parcerias ; /imprensa ; /aulas-ao-vivo ; /pratica-diaria e traducoes","51","CONFIRMADO NO CODIGO: um www/<slug>.py por pagina em PT; a maioria tem traducao mesmo-slug via SAME_SLUG_TRANSLATIONS (sobre/como-funciona/faq/certificado/comunidade/carreiras/diferenciais/metodologia); imprensa, aulas-ao-vivo, pratica-diaria e parcerias NAO aparecem em SAME_SLUG_TRANSLATIONS nem em PUBLIC_LANGUAGE_ROUTES -- provavelmente so existem em PT (NAO CONFIRMADO individualmente, ver urls.csv para status real por URL)","www/<slug>.html, um arquivo por pagina (nao compartilhado)","www/<slug>.py (+ variantes por idioma onde existir)","Nenhum doctype tipico (conteudo majoritariamente estatico/editorial) -- excecao: certificado provavelmente consulta LMS Certificate (NAO CONFIRMADO nesta leitura)","Mistura: algumas paginas com SAME_SLUG_TRANSLATIONS (traduzidas de verdade), outras so em PT servindo publico que ja fala portugues","Conteudo institucional, sem padrao SEO unico documentado nesta auditoria","Paginas institucionais diversas (T-institucional a definir)","MEDIO -- maior familia em NUMERO DE PAGINAS DISTINTAS (nao de URLs, ja que multiplica por idioma); alto risco de 'esquecer' uma pagina pequena na migracao por serem muitas e de baixo trafego individual"
"conversion","/matricula ; /planos ; /aula-diagnostica ; /teste-de-nivel(-ingles) ; /portuguese-placement-test e equivalentes ; /quanto-custa-curso-de-idiomas ; /contato ; /programa-de-indicacao e traducoes","37","CONFIRMADO NO CODIGO: controllers proprios (matricula.py, planos.py, aula_diagnostica.py, teste_de_nivel.py, teste_de_nivel_ingles.py, quanto_custa_curso_de_idiomas.py) + traducoes de teste de nivel especificas por curso via PLE_LEVEL_TEST_URLS/get_course_level_destination (course_urls.py)","varios templates proprios por pagina","um controller por slug + variantes por idioma","LMS Course (aula-diagnostica/matricula provavelmente linkam pro checkout Stripe, ver conversion-contracts.md)","CONFIRMADO NO CODIGO (agente de header/footer): destino do CTA de teste de nivel MUDA por curso visitado (inclusive o ROTULO do botao, via vd_level_test_url_override/vd_level_test_contact_override) -- nao e uma URL fixa por idioma, depende do contexto da pagina de curso de origem","Paginas de alta intencao comercial, changefreq/priority altos no sitemap (0.8)","Templates de conversao (T-conversao a definir)","MUITO ALTO -- classificacao P0 no baseline de conversao: qualquer quebra aqui impede matricula direta; a logica de destino DINAMICO do teste de nivel (override por curso) e o ponto mais fragil para o redesign preservar"
"legal","/termos ; /privacidade ; /cookies ; /cancelamento-reembolso ; /gravacao-imagem-voz ; /propriedade-intelectual","6","CONFIRMADO NO CODIGO E EM PRODUCAO (agente de header/footer leu o footer linha a linha): os 4 principais (termos/privacidade/cookies/cancelamento-reembolso) sao HARDCODED no footer, SEMPRE em portugues, mesmo em paginas de outro idioma -- nao existem versoes /en/termos etc.","www/<slug>.html","www/<slug>.py","Nenhum","CONFIRMADO: nao ha localizacao nenhuma destas paginas, decisao ja tomada e documentada em outra sessao (project_termos_privacidade_pt_only_decision, ver memoria do projeto)","Paginas juridicas, baixa prioridade de sitemap (0.2-0.3)","Paginas legais/institucionais","BAIXO tecnicamente, porem P1 de compliance -- qualquer regressao aqui e risco juridico/LGPD, nao so SEO"
"public-lms","app.vediums.com/* (login, /lms, /app)","N/A - fora do sitemap deste app","CONFIRMADO NO CODIGO: aplicacao Frappe LMS SEPARADA, servida no host app.vediums.com; vediums.com faz nginx Host-rewrite pra ela em certas rotas (ver infrastructure-gap.md)","N/A (fora deste repo/template)","N/A","LMS Enrollment, LMS Course, etc. (mesmo banco Frappe, app 'lms' + 'vedium_core' instalados juntos)","Nao aplicavel a hreflang do site de marketing","Nao indexavel para fins de marketing (area logada)","Fora do escopo do redesign do site de marketing (vediums.com)","CRITICO para conversao (destino de TODOS os links de login/registro/matricula do site) mas FORA do escopo de codigo desta auditoria -- documentado aqui apenas como dependencia externa"
"system","/sitemap.xml ; /robots.txt ; /manifest.json ; /sw.js","4","CONFIRMADO NO CODIGO: www/sitemap.py, www/robots.py, www/manifest.py, www/sw.py; /manifest.json e /sw.js sao registrados como website_route_rules explicitos em hooks.py pra contornar um bug de alias fixo no nginx (ver comentario no proprio hooks.py e docs/plataforma/pendente-pwa-marketing-404.md)","templates www/sitemap.xml, robots.txt proprio, manifest.json, sw.js","www/sitemap.py + www/robots.py + www/manifest.py + www/sw.py","Nenhum (robots.txt e estatico em codigo; sitemap.xml e dinamico via LANDINGS+LMS Course+blog)","N/A","robots.txt CONFIRMADO EM PRODUCAO permite explicitamente GPTBot, ChatGPT-User, CCBot, anthropic-ai, Claude-Web, Google-Extended (GEO/AI crawlers) alem do User-agent padrao","Nao se aplica (arquivos de sistema, nao templates de pagina)","BAIXO tecnicamente, CRITICO operacionalmente -- qualquer erro em sitemap.py/robots.py afeta a indexacao de TODO o site de uma vez"
