"source_url","status_code","destination_url","final_url","redirect_hops","responsible_layer","canonical_destination","internal_links_still_using_source","risk","notes"
"/course-details","301 (INFERIDO -- convencao do bloco, nao testado individualmente)","/cursos-de-idiomas-online","/cursos-de-idiomas-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:312, website_redirects (fixo)"
"/course-details.html","301 (INFERIDO)","/cursos-de-idiomas-online","/cursos-de-idiomas-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:313"
"/catalogo","301 (INFERIDO)","/cursos-de-idiomas-online","/cursos-de-idiomas-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:314"
"/index.html","301 (INFERIDO)","/","/","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:315"
"/news","301 (INFERIDO)","/cursos-de-idiomas-online","/cursos-de-idiomas-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:316"
"/news-details","301 (INFERIDO)","/cursos-de-idiomas-online","/cursos-de-idiomas-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:317"
"/news.html","301 (INFERIDO)","/cursos-de-idiomas-online","/cursos-de-idiomas-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:318"
"/about","301 (INFERIDO)","/sobre","/sobre","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:320"
"/sobre.html","301 (INFERIDO)","/sobre","/sobre","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:321"
"/contact","301 (INFERIDO)","/contato","/contato","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:322"
"/contact.html","301 (INFERIDO)","/contato","/contato","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:323"
"/teachers-1","301 (INFERIDO)","/sobre","/sobre","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:324"
"/mentores","301 (INFERIDO)","/sobre","/sobre","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:325"
"/professores","301 (INFERIDO)","/sobre","/sobre","1","Frappe","sim","NAO CONFIRMADO","medio","CONFIRMADO NO CODIGO: hooks.py:326. Direcao futura ja documentada em docs/redesign/08-page-media-map.md (secao Professores): vira pagina 200 propria no redesign -- este redirect e temporario por desenho, nao um erro a corrigir agora"
"/professor-busayo-frank-alonge","301 (INFERIDO)","/curso-de-ioruba-online","/curso-de-ioruba-online","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:327"
"/admin","301 (INFERIDO)","https://app.vediums.com/app","https://app.vediums.com/app","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:333, atalho pra area logada"
"/rh","301 (INFERIDO)","https://app.vediums.com/app/employee","https://app.vediums.com/app/employee","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:334"
"/financeiro","301 (INFERIDO)","https://app.vediums.com/app/accounts","https://app.vediums.com/app/accounts","1","Frappe","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: hooks.py:335"
"/stripe_checkout","301 (INFERIDO)","/catalogo","/cursos-de-idiomas-online","2","Frappe","nao -- cadeia de 2 hops","NAO CONFIRMADO","medio","CONFIRMADO NO CODIGO: hooks.py:336. CHAIN: /stripe_checkout -> /catalogo -> /cursos-de-idiomas-online (2 saltos). Documentado tambem em docs/redesign/01-current-stack-audit.md como 'cadeia legada' -- nao mexer sem plano de checkout aprovado"
"/aluno_360 (usuario Guest)","301 (INFERIDO, sem codigo explicito)","https://app.vediums.com/login?redirect-to=/aluno_360","-","1","Frappe (controller condicional)","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: www/aluno_360.py:13-16 -- so dispara pra usuario nao-logado"
"/aluno (usuario Guest)","302 EXPLICITO NO CODIGO","/login?redirect-to=/aluno","-","1","Frappe (controller condicional)","sim","CONFIRMADO NO CODIGO","baixo","www/aluno.py:31-32 -- unico redirect com codigo 302 explicito no repo inteiro; comentario no proprio arquivo explica: 301 ficaria cacheado pelo navegador e prenderia o usuario fora mesmo apos logar"
"/minhas-indicacoes (host vediums.com)","301 (INFERIDO)","https://app.vediums.com/minhas-indicacoes","-","1 (+ 1 se tambem Guest, ver linha abaixo)","Frappe (controller condicional por Host header)","sim","NAO CONFIRMADO","medio","CONFIRMADO NO CODIGO: www/minhas_indicacoes.py:12-13, funcao _redirect_public_host"
"/minhas-indicacoes (apos host certo, usuario Guest)","301 (INFERIDO)","https://app.vediums.com/login?redirect-to=/minhas-indicacoes","-","1","Frappe (controller condicional)","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: www/minhas_indicacoes.py:23-26"
"/onboarding (usuario Guest)","301 (INFERIDO)","/login?redirect=/onboarding","-","1","Frappe (controller condicional)","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: www/onboarding.py:7-8. INCONSISTENCIA: usa parametro 'redirect=' em vez de 'redirect-to=' como os demais controllers -- ja sinalizado em docs/redesign/01-current-stack-audit.md"
"/pratica-diaria (host vediums.com/www.vediums.com)","301 (INFERIDO NO CODIGO)","https://app.vediums.com/pratica-diaria","NAO CONFIRMADO -- produzao observada responde 200, nao redireciona","1 esperado, 0 observado","Frappe (controller condicional por Host header)","NAO -- DIVERGENCIA","sim (a pagina /pratica-diaria existe e e linkada do footer em PT)","ALTO","DIVERGENCIA CONFIRMADA: codigo em www/pratica_diaria.py:12-13 diz que deveria redirecionar por Host, mas docs/redesign/01-current-stack-audit.md:164 registra producao observada = 200 (sem redirect). Causa provavel: o Host header real chega diferente por causa do host-rewrite do nginx (fora do git). NAO corrigir sem investigar a causa raiz primeiro."
"/{prefix}/curso/<slug-interno> -- 9 cursos com slug interno != publico (6 niveis de Ingles + 3 de Ioruba) x pt-BR+en+es+fr+de+ru","301 (INFERIDO, convencao do modulo)","/{prefix}/curso/<slug-publico>","-","1","Frappe (course_urls.legacy_course_redirects(), injetado em website_redirects via hooks.py:310)","sim","NAO CONFIRMADO individualmente","baixo","PARAMETRICO -- CONFIRMADO NO CODIGO: course_urls.py:261-272. Exatamente 9 cursos tem slug interno distinto do publico (os outros 10 cursos do catalogo tem interno==publico e NAO geram redirect aqui); cada um gera 1 redirect PT + 5 por idioma = 54 redirects no total. Recomenda-se gerar a lista completa rodando legacy_course_redirects() num bench real antes do redesign, em vez de transcrever a mao (risco de erro de transcricao)."
"/blog/<slug> -- posts com campo 'category' definido em BLOG_POSTS","301 (INFERIDO)","/{lang}/blog/<categoria>/<slug> ou /blog/<categoria>/<slug>","-","1","Frappe (blog_content.legacy_blog_redirects(), injetado via hooks.py:311)","sim","NAO CONFIRMADO individualmente","baixo","PARAMETRICO -- CONFIRMADO NO CODIGO: 29 das 97 entradas de BLOG_POSTS tem 'category' definida, cada uma gera 1 redirect do slug achatado antigo pro caminho aninhado por categoria. Mesma recomendacao: gerar via bench antes do redesign."
"/{lang}/blog/<categoria-ou-idioma-invalido>","301 (INFERIDO)","/{lang}/blog ou /blog","-","1","Frappe (blog_content.get_category_context())","-","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO: blog_content.py:28270-28279 -- condicional, dispara so quando (lang,categoria) nao existe em CATEGORY_PAGES"
"/{prefix} -- prefixos regionais irmaos sem home propria (en-us, en-au, es-ar, es-co, fr-ca, zh-cn)","301 (INFERIDO)","/en, /es, /fr ou / (zh-cn cai em /)","-","1","Frappe (hooks.py:_build_language_prefix_redirects(), gerado em runtime)","sim","NAO CONFIRMADO","baixo","PARAMETRICO -- CONFIRMADO NO CODIGO: hooks.py:209-224. 6 prefixos regionais SEM home propria redirecionam pra home da familia (en-us/en-au->/en, es-ar/es-co->/es, fr-ca->/fr, zh-cn->/ porque zh-cn nao esta em LANGUAGES_WITH_OWN_HOME). en/es/fr/de/ru (sem sufixo regional) NAO geram redirect aqui -- sao servidos direto pela home traduzida propria."
"/{prefix}/{route} -- ate 11 prefixos nao-pt x 33 rotas de PUBLIC_LANGUAGE_ROUTES, exceto SAME_SLUG_TRANSLATIONS","301 (INFERIDO)","traducao real via LANDINGS[...]['alt'] quando existe; senao volta pro canonico em PT","-","1","Frappe (hooks.py:_build_language_prefix_redirects())","sim quando ha traducao; senao aponta pro PT (nao e o 'canonico' do idioma solicitado, e o fallback)","NAO CONFIRMADO individualmente","medio","PARAMETRICO E O BLOCO MAIS VOLUMOSO -- CONFIRMADO NO CODIGO: hooks.py:225-234. Existe PRECISAMENTE por causa de um bug real de producao (2026-07-03): URLs tipo /en-us/portuguese-for-executives prometiam ingles e entregavam portugues. Exemplos concretos verificados no codigo-fonte: /en/curso-de-ingles-online -> /en/learn-english-online (traducao real existe); /zh-cn/curso-de-ingles-online -> /curso-de-ingles-online (zh sem traducao, cai no PT); /de/ioruba-cultura-e-ancestralidade -> /ioruba-cultura-e-ancestralidade (alemao nao tem essa landing traduzida). RECOMENDACAO: gerar a lista completa via bench antes do redesign (determinístico, risco de transcricao manual alto)."
"/{prefix}/curso/<slug> -- so prefixos FORA de en/es/fr/de/ru (ex.: zh-cn)","301 (INFERIDO, regex)","/curso/<slug>","-","1","Frappe (hooks.py:242-246)","sim","NAO CONFIRMADO","baixo","CONFIRMADO NO CODIGO. Hoje so zh-cn se enquadra (os outros 10 prefixos de LANGUAGE_ROUTE_PREFIXES sao en/en-us/en-au/es/es-ar/es-co/fr/fr-ca/de/ru, todos excluidos desta regra)"
