group_ids,url,status_code,location,canonical,expected_canonical,canonical_matches_catalog,h1,rendered_content_hash,rendered_words
live-title-023,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,200,,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,yes,Brasilianisches Portugiesisch für Auswanderer: die wichtigsten Grundlagen,899784b6b5f766bdd9dcb0f76165b7df3cd088fdb4a07bea631f2ae434a2bb75,2005
live-title-016,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,200,,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,yes,Brasilianisches Portugiesisch für Führungskräfte und Manager,50ad1452c50b31b104500a55b44e8952df314cbd80f56429643d4e8440f178bc,799
live-title-028,https://vediums.com/blog/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,200,,https://vediums.com/blog/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,no,Brazilian Portuguese for expats: what to learn before your first month in Brazil,ad321d400aba7c4af358d1e77cdaebf8ed6a6eecd98f6eb4bda65b5143562bfb,2029
live-title-031,https://vediums.com/blog/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,200,,https://vediums.com/blog/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,no,Brazilian Portuguese for relocation teams: what employees need before arrival,75adc502cb370b253d573cc9fbc1ea81518fd290304cf50bac5e4b6ce2285fe3,2041
live-title-004,https://vediums.com/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,200,,https://vediums.com/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,no,Como a prática constante supera maratonas de estudo em inglês,c7c93e34481e2ddaf6feb8bf0fa0031a7e8fa631ee2d93e0c08306cdf7a15883,2617
live-title-005,https://vediums.com/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,200,,https://vediums.com/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,no,Como avaliar se um conteúdo de iorubá é sério e responsável,eb24c1920336511ef9638331e8dc01cbc30bb3dc9075b402880047ef7c0747b3,2339
live-title-012,https://vediums.com/blog/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,200,,https://vediums.com/blog/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,no,"Como combinar leitura, escuta, fala e escrita no mesmo plano",3a47cafaa5e7f45e335cb28c032349d72eeee84ce42fda4d59b833c8899bbf12,2481
live-title-019,https://vediums.com/blog/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,200,,https://vediums.com/blog/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,no,Como manter constância no estudo de uma língua de herança,efbba9435e43f533008e0d8882f792f640cea942d05c0fa0e1312059f5d532a8,2508
live-title-026,https://vediums.com/blog/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,200,,https://vediums.com/blog/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,no,Como os tons mudam o significado das palavras em iorubá,d7cb6db327f96fe8d5fceeb727599d223f1a5f6812613391d4065b0f290b440e,1981
live-title-029,https://vediums.com/blog/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,200,,https://vediums.com/blog/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,https://vediums.com/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,no,Como saber seu nível real de inglês antes de escolher um curso,05bc50b5be96ae52958da92e2af09524952a9f103b61d25ea840cdb59e867eed,1660
