group_id,title,occurrences,unique_urls,unique_titles,duplicate_kind,page,position,url,tag
live-title-001,Plano de 30 dias para começar iorubá com base sólida,2,2,1,same_title_multiple_urls,1,6,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,Iorubá
live-title-001,Plano de 30 dias para começar iorubá com base sólida,2,2,1,same_title_multiple_urls,1,7,https://vediums.com/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,Iorubá
live-title-002,Portuguese for Brazil: a realistic study path from A1 to B1,2,2,1,same_title_multiple_urls,1,12,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,Brazilian Portuguese
live-title-002,Portuguese for Brazil: a realistic study path from A1 to B1,2,2,1,same_title_multiple_urls,2,1,https://vediums.com/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,Português para Estrangeiros
live-title-003,How to ask better questions in Brazilian Portuguese,2,2,1,same_title_multiple_urls,2,5,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,Brazilian Portuguese
live-title-003,How to ask better questions in Brazilian Portuguese,2,2,1,same_title_multiple_urls,2,6,https://vediums.com/blog/how-to-ask-better-questions-in-brazilian-portuguese,Português para Estrangeiros
live-title-004,Como a prática constante supera maratonas de estudo em inglês,2,2,1,same_title_multiple_urls,2,7,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Inglês
live-title-004,Como a prática constante supera maratonas de estudo em inglês,2,2,1,same_title_multiple_urls,2,8,https://vediums.com/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,Inglês
live-title-005,Como avaliar se um conteúdo de iorubá é sério e responsável,2,2,1,same_title_multiple_urls,2,9,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,Iorubá
live-title-005,Como avaliar se um conteúdo de iorubá é sério e responsável,2,2,1,same_title_multiple_urls,2,10,https://vediums.com/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,Iorubá
